Transfers of major conventional arms from All countries  to Israel  . Deals with deliveries made for the year range '2010' to '2024' ;;;;;;;;;;;;;;;
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).;;;;;;;;;;;;;;;
An empty field for 'Number ordered' indicates that data is not yet available.;;;;;;;;;;;;;;;
SIPRI trend-indicator values (TIVs) are in millions.;;;;;;;;;;;;;;;
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.;;;;;;;;;;;;;;;
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.;;;;;;;;;;;;;;
Figures may not add up to stated totals due to the conventions of rounding.;;;;;;;;;;;;;;;
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Source: SIPRI Arms Transfers Database (c) SIPRI.;;;;;;;;;;;;;;;
Data generated: 5 Jan 2026 11:04:22 PM;;;;;;;;;;;;;;;
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons;;;;;;;;;;;;;;;
Israel,United States,2023,,1200,?,JDAM,guided bomb,1200,?,2023,Second hand,Second-hand; aid after October 2023 Hamas attack on Israel,0.01,9.6,9.6;;;;;;;;;;;;;;
Israel,United States,2022,?,,,David,armoured personnel carrier,121,,2022; 2023,New,,0.11,0,13.31;;;;;;;;;;;;;;
Israel,United States,2023,,,,GBU-39 SDB,guided glide bomb,2600,?,2024,Second hand,Probably second-hand; aid,0.01,0,20.8;;;;;;;;;;;;;;
Israel,Italy,2015,?,4,,Super Rapid 76mm,naval gun,4,?,2022; 2023,New,For 4 MEKO PC-IN (Sa'ar-6) frigates from Germany,2.75,11,11;;;;;;;;;;;;;;
Israel,Canada,2006,?,10,?,aircraft engine,aircraft engine,4,?,2010; 2011,New,Pratt & Whitney Canada PT-6A-67A (1200hp) turboprop; for Eitan (Heron-TP) UAV produced in Israel,0.5,5,2;;;;;;;;;;;;;
Israel,United States,2023,,50,?,L-ATV,armoured personnel carrier,50,?,2024,New,JLTV version,0.18,9,9;;;;;;;;;;;;;;;
Israel,United States,2023,,300,?,Tamir,SAM,300,?,2023,Second hand,Second-hand; aid,0.06,18,18;;;;;;;;;;;;;;
Israel,United States,2017,,50,?,vehicle engine,vehicle engine,50,?,2018; 2019,New,$10.5 m 'FMF' aid; probably 16V-92 (710-850hp) diesel engine; for modernization of Achzarit infantry fighting vehicles,0.11,5.5,5.5;;;;;;;;;;;;
Israel,United States,2015,,100,,vehicle engine,vehicle engine,100,?,2016; 2017,New,$16 m deal; probably 16V-92 (710-850hp) diesel engine; for modernization of Achzarit infantry fighting vehicles,0.11,11,11;;;;;;;;;;;;
Israel,United States,2010,,100,?,vehicle engine,vehicle engine,100,?,2011; 2012,New,$21 m deal; probably 16V-92 (710-850hp) diesel engine; for modernization of Achzarit infantry fighting vehicles,0.11,11,11;;;;;;;;;;;;
Israel,Germany,2011,,1,,MPQ-53,SAM system radar,1,,2011,Second hand,Second-hand; loan (while Israeli radar being modernized),6,6,6;;;;;;;;;;;;;;
Israel,Germany,2012,?,2,,Patriot,SAM system,2,,2013,Second hand,Second-hand; aid (loan),18.8,37.6,37.6;;;;;;;;;;;;;;
Israel,United States,2008,,20,?,T-6 Texan-2,(armed) trainer aircraft,10,?,2010,New,$124 m deal (funded by US 'FMF' aid); T-6A version; Israeli designation Efroni,2,40,20;;;;;;;;;;;;;
Israel,Germany,2012,?,125,?,MIM-104A Patriot,SAM,125,?,2013,Second hand,Second-hand; loan,0.3,37.5,37.5;;;;;;;;;;;;;;
Israel,United States,2012,,300,?,M-113,armoured personnel carrier,300,?,2013;2014; 2015,Second hand,Second-hand; aid; M-577A2 command post version,0.1,30,30;;;;;;;;;;;
Israel,United States,2014,,60,,AAQ-14 LANTIRN,aircraft electro-optical system,60,,2015,Second hand,Second-hand; aid,0.4,24,24;;;;;;;;;;;;;;
Israel,Germany,2006,,2,,Dolphin Batch-2,submarine,2,,2014; 2015,New,EUR1 b deal (33% financed by FRG aid),300,600,600;;;;;;;;;;;;;;
Israel,United States,2014,,28,?,AIM-9X Sidewinder,long-range air-to-air missile,28,?,2016;2017;2019; 2020,New,AIM-9X Block-2 and Block-3 versions; possibly incl for evaluation,0.18,5.04,5.04;;;;;;;;;;;
Israel,United States,2015,,14,,F-35A Lightning-2,FGA aircraft,14,,2019;2020;2021; 2022,New,$2.8 b 'FMF' aid; incl production of components in Israel; F-35I version,55,770,770;;;;;;;;;;
Israel,United States,2021,?,1800,?,JDAM,guided bomb,1800,?,2023,New,Part of $735 m deal,0.02,36,36;;;;;;;;;;;;;;;
Israel,United States,2010,,3,,C-130J Hercules,transport aircraft,3,,2013;2014; 2015,New,$250 m deal; Israeli designation Samson,40,120,120;;;;;;;;;;;;
Israel,United States,2012,,1500,,JDAM,guided bomb,1500,?,2013,New,,0.02,30,30;;;;;;;;;;;;;;;
Israel,United States,2015,,100,,JDAM,guided bomb,100,?,2016,New,,0.02,2,2;;;;;;;;;;;;;;;
Israel,United States,2014,,3000,,JDAM,guided bomb,3000,?,2015; 2016,New,$66 m. deal,0.02,60,60;;;;;;;;;;;;;;
Israel,United States,2010,,150,,JDAM,guided bomb,150,?,2010,New,LJDAM version,0.02,3,3;;;;;;;;;;;;;;;
Israel,United States,2009,,3450,?,JDAM,guided bomb,3450,?,2010;2011; 2012,New,,0.02,69,69;;;;;;;;;;;;;
Israel,United States,2012,,3450,?,GBU-39 SDB,guided glide bomb,3450,?,2015;2016; 2017,New,,0.02,69,69;;;;;;;;;;;;;
Israel,United States,2015,,700,?,Paveway,guided bomb,700,?,2018; 2019,New,,0.02,14,14;;;;;;;;;;;;;;
Israel,United States,2021,?,1000,?,GBU-39 SDB,guided glide bomb,1000,?,2023,New,Part of $735 m deal,0.02,20,20;;;;;;;;;;;;;;;
Israel,United States,2015,?,15,,M-270 MLRS 227mm,multiple rocket launcher,15,,2015,Second hand,Second-hand,0.48,7.2,7.2;;;;;;;;;;;;;;;
Israel,United States,2016,,9,,F-15C Eagle,FGA aircraft,9,,2016,Second hand,Second-hand; aid; F-15D version; possibly (partly) for spare parts,19,171,171;;;;;;;;;;;;
Israel,United States,2016,,1000,?,GMLRS,guided rocket,1000,?,2017; 2018,New,,0.08,80,80;;;;;;;;;;;;;;
Israel,Germany,2002,?,150,?,DM2A4 Seehecht,anti-ship/anti-submarine torpedo,130,?,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023; 2024,New,For Dolphin submarines,1.8,270,234;;;;;
Israel,Germany,2019,?,276,?,vehicle engine,vehicle engine,10,?,2023,New,MTU 750hp diesel engine (possibly 6V-890) for Eitan infantry fightuing vehicles and armoured personnel carriers in Israel; from production line in USA,0.11,30.36,1.1;;;;;;;;;;;;;;
Israel,United States,2017,,1,,Gulfstream-5,light transport aircraft,1,,2023,New,G-550 version; modified in Israel to Oron AGS/SIGINT aircraft,28,28,28;;;;;;;;;;;;;;
Israel,United States,2013,,4,,C-130J Hercules,transport aircraft,4,?,2016; 2018,New,Israeli designation Samson,40,160,160;;;;;;;;;;;;;;
Israel,United States,2010,,19,,F-35A Lightning-2,FGA aircraft,19,?,2016;2017;2018; 2019,New,$2.7 b 'FMF' aid; incl production of components in Israel; F-35I version,55,1045,1045;;;;;;;;;;
Israel,United States,2016,?,1588,?,JDAM,guided bomb,1588,?,2019,New,,0.02,31.76,31.76;;;;;;;;;;;;;;;
Israel,United States,2008,,1000,,GBU-39 SDB,guided glide bomb,1000,?,2010;2011; 2012,New,$77 m deal; Israeli designation Sharp Hail,0.02,20,20;;;;;;;;;;;;
Israel,Canada,2008,,20,?,aircraft engine,aircraft engine,10,?,2010,New,Pratt & Whitney Canada PT-6A-68 (1100hp) turboprop for 20 T-6A trainer aircraft from USA,0.5,10,5;;;;;;;;;;;;;;;
Israel,United States,2011,,3,,AH-64D Apache Longbow,combat helicopter,3,,2012,New,Israeli AH-64A rebuilt to AH-64D; Israeli designation Saraf,15.5,46.5,46.5;;;;;;;;;;;;;;
Israel,United States,2013,,2701,?,JDAM,guided bomb,2701,?,2014; 2015,New,$66 m deal,0.02,54.02,54.02;;;;;;;;;;;;;;
Israel,United States,2010,,1,,Boeing-707,transport aircraft,1,?,2011,Second hand,Second-hand but modernized and modified to tanker aircraft after delivery,17.8,17.8,17.8;;;;;;;;;;;;;;;
Israel,United States,2011,?,1,,T-6 Texan-2,(armed) trainer aircraft,1,,2012,New,T-6A version; Israeli designation Efroni,2,2,2;;;;;;;;;;;;;;
Israel,United States,2012,,60,,F-124,turbofan,60,?,2014;2015; 2016,New,$735 m deal; funded by 'FMF' aid; for 30 M-346 trainer aircraft from Italy,1,60,60;;;;;;;;;;;
Israel,Canada,2011,?,1,,aircraft engine,aircraft engine,1,,2012,New,Pratt & Whitney Canada PT-6A-68 (1100hp) turboprop engine for 1 T-6A trainer aircraft from USA,0.5,0.5,0.5;;;;;;;;;;;;;;;
Israel,United States,2017,,17,,F-35A Lightning-2,FGA aircraft,6,,2022; 2023,New,'FMF' aid; incl production of components in Israel; F-35I version,55,935,330;;;;;;;;;;;;
Israel,United States,2023,,,,AGM-114 Hellfire-2,anti-tank/air-to-surface missile,3000,?,2023; 2024,Second hand,Second-hand; aid,0.02,0,60;;;;;;;;;;;;;
Israel,United States,2023,,75,,L-ATV,armoured personnel carrier,75,?,2023; 2024,New,Aid; $33 m deal; JLTV version,0.18,13.5,13.5;;;;;;;;;;;;
Israel,United States,2023,,2,,Iron Dome,SAM system,2,,2023,Second hand,Second-hand; lease,10,20,20;;;;;;;;;;;;;;
Israel,United States,2011,,531,?,Namer,armoured personnel carrier,427,?,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023; 2024,New,'FMF' aid; designed in Israel but produced in USA for Israel,1.5,796.5,640.5;;;;
Israel,United States,2011,,160,,M-106A3,self-propelled mortar,160,,2012,Second hand,Second-hand; M-1064A2 version with 120mm mortar,0.22,35.2,35.2;;;;;;;;;;;;;;
Israel,Germany,2000,?,1370,?,vehicle engine,vehicle engine,800,?,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023; 2024,New,MTU MT883Ka (1500hp) diesel engine for Merkava-4 and Merkava-5 tanks and Namer armoured personnel carriers produced in Israel and modernization of older Namer; from US production line (assembled in USA from components produced in Germany),0.3,411,240
Israel,Germany,2015,,4,,MEKO PC-IN,frigate,4,?,2022; 2023,New,EUR430 m deal (incl EUR115 m paid by Germany; NIS700 m offsets; incl production of components and final fitting out in Israel); Israeli designation Saar-6 or Magen,182.25,729,729;;;;;;;;;;;
Israel,Italy,2019,,12,,AW119 Koala,light helicopter,7,?,2022,New,AW119M version; for training; from US production line; Israeli designation Sayfan,2.25,27,15.75;;;;;;;;;;;;
Israel,United States,2019,,2,,Kuroda,landing ship,2,,2023; 2024,New,'FMF' aid; Israeli designation Nashon,40,80,80;;;;;;;;;;;;;
Israel,United States,2017,?,4100,?,GBU-39 SDB,guided glide bomb,4100,?,2018;2019;2020;2021; 2022,New,,0.02,82,82;;;;;;;;;;;
Israel,Italy,2012,,30,,M-346 Master,trainer/combat aircraft,30,?,2014;2015; 2016,New,$600 m deal (without engines; offsets 100%); Israeli designation Lavi,8.5,255,255;;;;;;;;;;;
